utterance_id,audio_path,sentence,ethnicity,gender,age,first_language,dataset,accent,speaker_id
fs_59c00ee99dba6745e231d41751a18767,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/59c00ee99dba6745e231d41751a18767.wav,send a text message to my mother saying that i just saw the her ex-boyfriend at the shopping,Asian,female,23 - 30,English,fairspeech,,
cv_common_voice_en_117322,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_117322.mp3,She gazed upwards at the bright stars and wondered whether she would ever get home.,,,,,commonvoice,,e69a4722770d36fa318714950aa8e46e8aab7f8746b4e0cf59338e8660bed9e5820305195fef6cbc805a2c3894291c9d4d62bc40e5a4e4a39e1f7bd257be25d4
fs_5277e7da367df6fdd4cf3aa0174d7e16,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/5277e7da367df6fdd4cf3aa0174d7e16.wav,i took some good pictures this afternoon can you add the last one to my instagram story,White,male,18 - 22,English,fairspeech,,
cv_common_voice_en_18627734,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18627734.mp3,"No, Ada thought I had better not go by myself.",,female_feminine,thirties,,commonvoice,us,69a0609f88e199375d01542fdece3c120c0acc97c25e0fa337d93b740fd9cd7752c9de466b97ae944e3e6a74120a0656395db2e21308c09af70e0dae755385c4
cv_common_voice_en_18640102,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18640102.mp3,"‘Oh, it’s too bad!’ she cried.",,female_feminine,twenties,,commonvoice,,4edf5c949175b4c618c2de55eaac6d0f6ea14c1e3698c752fa231040d6eb1009723f5196edcc033827035fb26dc67b476318201399543abbe02130103b84e311
fs_79ce5113ebfca428e47c1ff8e3b10dac,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/79ce5113ebfca428e47c1ff8e3b10dac.wav,hey facebook send an audio message now,Black/AA,male,31 - 45,English,fairspeech,,
fs_631328b4e7dd4f9c31f8546c4a95240f,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/631328b4e7dd4f9c31f8546c4a95240f.wav,search wap by cardi b,Black/AA,male,31 - 45,English,fairspeech,,
fs_f5ded5e480f04853c1145daa435f6fd9,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/f5ded5e480f04853c1145daa435f6fd9.wav,can you tell me what level the volume of my phone is,Black/AA,female,31 - 45,English,fairspeech,,
cv_common_voice_en_18592588,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18592588.mp3,He spoke computer jargon.,,male_masculine,teens,,commonvoice,us,4397cdbe548d4804e2a287f08f0004addf3da38f8096992507de1f8de504128c150bc87f9b90d289726610074d09e613b786499992c59f64cf80ea1659393c84
cv_common_voice_en_171550,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_171550.mp3,A classic blue Volkswagen Beetle lines up next to a modern red Volkswagen for a drag race.,,,,,commonvoice,,9a5220ced3987b25a0425406143ccd4356f34551c8d9f981813225d1697c4032db6956e157316c85f3001eefcfcfbb5769ee719a65aa098c2e965ecacd17cd12
fs_80fe2331012861b687471794609717d4,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/80fe2331012861b687471794609717d4.wav,hey facebook if you want to mute your announcements and notifications you must go to settings on your phone go to notifications and announcements and unclick the announcements on your phone,Black/AA,female,18 - 22,English,fairspeech,,
fs_9e983ebfe9e47db00b24bf4f42775910,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/9e983ebfe9e47db00b24bf4f42775910.wav,hey facebook reply john how are you doing today,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_119470,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_119470.mp3,A man climbs a sheer cliff face,,,,,commonvoice,,7c89ccaf7db108af668ad5c00daae2d1de83f3e4f67760b1b64d38f43704e70e3bb2cc8a12f11d556f2ae9f15d0846f613010ed2d728ca93e6477e03e0035f1a
fs_e9c668c286967c6593e275eb5e22073e,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e9c668c286967c6593e275eb5e22073e.wav,hey facebook set me on focus time for the next hour,Black/AA,female,46 - 65,German,fairspeech,,
fs_bc9e0f25b6ad6582bd3cb2c1db1da3ba,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/bc9e0f25b6ad6582bd3cb2c1db1da3ba.wav,hey facebook read me the incoming text from the group on whatsapp,Hispanic,female,23 - 30,Spanish,fairspeech,,
fs_a3b82779e8622a6dece422ea0f082e8b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a3b82779e8622a6dece422ea0f082e8b.wav,play a bts song,Asian,female,18 - 22,Mandarin,fairspeech,,
cv_common_voice_en_18507503,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18507503.mp3,That will require congressional approval.,,male_masculine,twenties,,commonvoice,us,65e66d234c1b684151e08365a5b1e5af5bb8a35f5a70f5b8bb359013bdd774a3199cdfc925bc028fd4c1dfcbd268567e818515ecd421bd5ed741b99cdc5c5449
fs_2da8fcedaf2f536cb6ce43057e2b9c4f,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/2da8fcedaf2f536cb6ce43057e2b9c4f.wav,hello my love i've missed you so much i've been thinking about you all day i hope you good and i hope you fine i really wish to meet you soon,Black/AA,male,31 - 45,English,fairspeech,,
fs_cbfc30dbe141e12c826e1bfe64423b1b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/cbfc30dbe141e12c826e1bfe64423b1b.wav,can't get to the phone right now comma hands are full comma but what should i buy for dinner tomorrow question mark,Native American,female,18 - 22,English,fairspeech,,
fs_f6711880f0ba1c1144238d3e14b5d73a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/f6711880f0ba1c1144238d3e14b5d73a.wav,hey facebook cancel last message to kenny,Native American,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18541497,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18541497.mp3,‘Not you!’ Tweedledee retorted contemptuously.,,male_masculine,twenties,,commonvoice,england,777c014d742cdcc2e612ea2ab56d64c9b5b50f5074fef5465a5ac998e17862b2caeb950f63594c77c7fd298c458efcf0a65bed17b65b873c49e22ef7431f74fd
fs_4bc89a33da3c83da504421548db6d2c3,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/4bc89a33da3c83da504421548db6d2c3.wav,hey facebook mute my phone for ten minutes,White,female,31 - 45,English,fairspeech,,
fs_20e110c4cab1e5d5175e70d231fba56b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/20e110c4cab1e5d5175e70d231fba56b.wav,group message for work associates what time is that meeting am i be a little bit late if it is gonna be before four o'clock send,Native American,female,31 - 45,English,fairspeech,,
cv_common_voice_en_18607223,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18607223.mp3,"I can never forget Augustus, but my love for him is dead.",,,,,commonvoice,,9c9798d397d537bbcb76e7447fb50d97558de828cf0dc911c1fd99fbd9e57415956f869a0a1b83a55d650df752fcb9f993d2730d9213b58086516a254125b42e
fs_78dca6815fe7b83ae107b2bfd510715f,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/78dca6815fe7b83ae107b2bfd510715f.wav,text my friend ask how she feels about the recent black lives matter protests,Asian,female,31 - 45,Mandarin,fairspeech,,
cv_common_voice_en_18607887,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18607887.mp3,No doubt it was just trying to play.,,male_masculine,twenties,,commonvoice,,939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461
fs_a1ee12a8537d2e2a03e4700d19d22a84,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a1ee12a8537d2e2a03e4700d19d22a84.wav,can you shuffle the playlist,Asian,female,18 - 22,English,fairspeech,,
fs_05b4ac9f06fe61f06d8175375fc570d7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/05b4ac9f06fe61f06d8175375fc570d7.wav,hey facebook call jeff smith,Asian,male,46 - 65,Korean,fairspeech,,
cv_common_voice_en_122751,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_122751.mp3,People walk up and down a hallway with advertisements on the wall.,,male_masculine,teens,,commonvoice,us,29b1e5a58d1667d4ac45832ec195356598a69f66680877b0d5ee465ce2404c0186affc81ffe4a29df35203fc07a0fc5714c60d914a88aa36d7f84c94dc381d2f
fs_6e284b73725a6ea9bc681d6279e25003,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/6e284b73725a6ea9bc681d6279e25003.wav,skip this song please,Native American,female,31 - 45,English,fairspeech,,
fs_32508fd21b0d8e4575ba2009fa998a12,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/32508fd21b0d8e4575ba2009fa998a12.wav,send a text message i will meet you up soon so we can round up our conversation at two pm,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18598171,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18598171.mp3,It is imperative you apply before the deadline.,,male_masculine,thirties,,commonvoice,us,344908c02bd9ae437d19d5b7ba3fe238a770da115d0a546adf1c20601008a1e2dabdd9f029d8e71c56e107b48f6baed0d87fed3a0e63eb9425be221055d40c12
cv_common_voice_en_18480298,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18480298.mp3,Dear Ms Collins.,,,,,commonvoice,,72436fedb3ab91b346cb15c5ef8e8d8849d5ca0fd964e8d5d4412b8124790a005567c747f631fa3bfc80ba26cb8220b05b39e715fb6740aa7403eeae33933763
cv_common_voice_en_18564763,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18564763.mp3,"A little soft about a mile off, and the edges want cleaning.",,male_masculine,twenties,,commonvoice,,b4247e0243ee24889c5445077ce80c46d69ae9beb00ec33818ebd9b62fc3fc54493195cc912876ce973fc4a00d7de22b36fe5144e7b4bc329a3bb980534f543e
cv_common_voice_en_18602954,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18602954.mp3,"You must have been thinking again, remarked the Tin Woodman.",,,,,commonvoice,,518d6714d099a016f2a1495a32973882ca7dd5bf2a672da2019e9474362025572790b49e541d15795c3bd9dcf456d5af69606b58de79fee819c4f737b9faae41
fs_e8002d9da51605b7b5160722f8524272,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e8002d9da51605b7b5160722f8524272.wav,stop the music,Black/AA,male,31 - 45,English,fairspeech,,
fs_a12efcd0cab2dcf642841f3350df101d,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a12efcd0cab2dcf642841f3350df101d.wav,send a text to jessica heading out now it'll take me five minutes to get to the coffee shop rushing,Asian,female,18 - 22,English,fairspeech,,
cv_common_voice_en_18352188,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18352188.mp3,"Too much, he told me, with ominous rolling head.",,male_masculine,thirties,,commonvoice,,6ae44e206613fb6afc330002553d5cc289acf7d36c8a084f1be5b1b075eb9bf68cb54a9851408087c5c08daa55de3e767d128c9806564d2928aff7636bb9a5f1
cv_common_voice_en_17939331,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_17939331.mp3,An onion a day keeps everyone away.,,male_masculine,thirties,,commonvoice,,0d3c632f727a16b4e13470e63691241c9a0e53c5387e3278e558bbe917ba4432b7a4fd5d459c0d979a4a9d24d464076cdadc82a0760aeb5afbb1b8aafc92e492
cv_common_voice_en_12487,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_12487.mp3,What animated movies are showing nearby,,male_masculine,twenties,,commonvoice,,3e8f707a0cbea69c131ac632318c536cfc39e47428b2af76c7fa9f607e774d5c570611b776a3dfba1d422a29533cd46b244224261a50ba99621ef43506a50809
cv_common_voice_en_18618278,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18618278.mp3,He wiped an imaginary tear from his eye.,,male_masculine,thirties,,commonvoice,canada,085da0d2d420d3b0b54e6217dfee4ab92d8c8d412a2a3c26022043c30e8d003ff898852fdb84650f252e0584105840736e58fd5e82ba27b9161397c409a706a5
fs_a1dfbcbd30163ae7ff5ab7652bded990,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a1dfbcbd30163ae7ff5ab7652bded990.wav,hey just getting off work what time is the football game,Pacific Islander,female,46 - 65,English,fairspeech,,
cv_common_voice_en_18349164,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18349164.mp3,Archivists have been arguing for copyright reform for years.,,,,,commonvoice,,e7968078afb0dc41aacd788097b2214bda56d9a475a5f19868ac96fd985591e07b86a0a831fec7a6289677f682025c66664409882015ae151e7b9f5effcf018f
fs_43bbb0318287155a5ab62d4b8b2da89f,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/43bbb0318287155a5ab62d4b8b2da89f.wav,hey facebook call abc on speaker phone,Asian,female,23 - 30,Mandarin,fairspeech,,
cv_common_voice_en_18561382,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18561382.mp3,He had the news then that Marthe was on her way.,,,,,commonvoice,,14391b7f62c3f9bbf1d1b2f57cf9e28752cb6e3e1ee342ec305dd2b87e21f6fbc2287154a15afb39b44e82400ea09e7fa2382f9fe78283c619f739e6121c55f9
fs_6d0cacfbf26d6f44086f09e932e18bd4,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/6d0cacfbf26d6f44086f09e932e18bd4.wav,hey facebook delete last two photos,Native American,female,23 - 30,English,fairspeech,,
fs_2e20f3e6e976914ab7f71185f34e88ab,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/2e20f3e6e976914ab7f71185f34e88ab.wav,hey facebook place a call to saved and shared recipes group,White,female,46 - 65,English,fairspeech,,
fs_fd2135683f6ec8620bbdf8759d8f1b2e,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/fd2135683f6ec8620bbdf8759d8f1b2e.wav,hey facebook what's my battery level,Hispanic,male,31 - 45,English,fairspeech,,
cv_common_voice_en_11339,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_11339.mp3,A black and white dog is running on sand.,,male_masculine,thirties,,commonvoice,us,6fd57fc68e9bf90d7dc9902fbbc759f955859718e94ab49b54d253ad09be52cd8b14159e9c644a3bd61291038cbf16b788329a2facc1b22acd3edab62f04e9a1
fs_656f1b147c60a12fc699828515f2ec8b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/656f1b147c60a12fc699828515f2ec8b.wav,hey facebook lol,White,male,31 - 45,Dutch,fairspeech,,
fs_5cbd319bb729417955d6b288866a4232,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/5cbd319bb729417955d6b288866a4232.wav,hey facebook turn on my online status,White,female,18 - 22,English,fairspeech,,
cv_common_voice_en_12914,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_12914.mp3,I swear it on my mother's grave.,,,,,commonvoice,,4551db710d74a10de41bbd8c841557971990abbfc0e2342fc56ad6359f099aebd928a40a5281d9a2e7a3c032b038017b94a8826361a70bfdf5351ded2d3ea3d0
fs_6dad00e028a143b7076c1bf236be7ee6,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/6dad00e028a143b7076c1bf236be7ee6.wav,send message to dad where did you leave the keys,Hispanic,female,18 - 22,Spanish,fairspeech,,
fs_a0aba8dc69d5b70560a66f384d16e257,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a0aba8dc69d5b70560a66f384d16e257.wav,please don't be late to the event i come along with the money i told you about,Black/AA,male,31 - 45,English,fairspeech,,
fs_743b56c7eabc780afc02d2f55541dded,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/743b56c7eabc780afc02d2f55541dded.wav,will you be at miss woods and mister joshua secret wedding tomorrow,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18530092,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18530092.mp3,Haiti is still recovering from a natural disaster.,,male_masculine,twenties,,commonvoice,,4c407a51103a79d22a55ba3047ed5e1353ad666e3ed14df8998c75b7acdb1f335f7d77fd6526cc6950c5ebfc5dc998cb784dbba2b28556c81056e842ca8f0758
cv_common_voice_en_18649952,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18649952.mp3,Do you think you could manage it?,,,,,commonvoice,,86939a36918a8f39651fcd72509f00bdae15a4f6d942d7fab8accaa721f01e90a7873da6b9d358e9c76f029d53aa0fbd90d734e8102fd7c4f52a5a03cd398c9f
fs_253c8b9bf73223d651ac2fa1cd4a42e7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/253c8b9bf73223d651ac2fa1cd4a42e7.wav,hey facebook text cassandra and alex,White,male,18 - 22,English,fairspeech,,
fs_2dcddef312f8a4dffb172b80a54c42d6,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/2dcddef312f8a4dffb172b80a54c42d6.wav,hey facebook mute all my announcements,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18564192,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18564192.mp3,You are approaching a safety speed camera.,,male_masculine,twenties,,commonvoice,,b4247e0243ee24889c5445077ce80c46d69ae9beb00ec33818ebd9b62fc3fc54493195cc912876ce973fc4a00d7de22b36fe5144e7b4bc329a3bb980534f543e
cv_common_voice_en_18583688,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18583688.mp3,Do you happen to carry a box?,,male_masculine,thirties,,commonvoice,,5cf39ed79fcb8f20e55c9e2df71648f39a468e3f4c05bc657d0573e2695202a9ed2b81b30f2c5e4ab28603e72d35bb66ebb6d4f68cc9b7567bf76b3b6fae2a74
cv_common_voice_en_18564734,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18564734.mp3,A hallmark of talented engineers is their attitude to learning things out of curiosity.,,,,,commonvoice,,7633e88d8d94bc5abe8814aec0a3388da1ca9d3355c359259eaa42413bd56892583a8343a89ea0e4bc6827214421325a8b9761c17b4a4b93f430669d4e081e13
fs_331ac6254a2468ccdafdafa7d1668dfd,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/331ac6254a2468ccdafdafa7d1668dfd.wav,hi myrna we have not seen each other in a while how are you question mark how about next week we get together next week or something maybe we can plan something with the kids and everything let me know what you think bye talk to you soon,Hispanic,female,46 - 65,Spanish,fairspeech,,
cv_common_voice_en_18655768,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18655768.mp3,"Oh, it was not possible!",,male_masculine,twenties,,commonvoice,england,015a806dec64c99f784776d414e6011dd71cfc4e1299bce96a7d5bac14c7f72703b5e841285114722d17e0fe86a421f5efa3d07fe0e6ffce9043d9ee23ae3b5a
cv_common_voice_en_116728,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_116728.mp3,A man squatted on a rooftop cleans the rain gutters with a hose.,,male_masculine,twenties,,commonvoice,canada,25bc1fb5e8fb8c59df9cdb4dd07be6837d50ff86b6582a5c4f01e6bc9fd5674a5c403798d8e0eeaa6ded4e2d25ce5c6ca650fbddef5e05efc861469d548e05ab
fs_38a8152c24c4de0259e3fb6b05c16b51,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/38a8152c24c4de0259e3fb6b05c16b51.wav,hey facebook post that video to my story,Black/AA,female,46 - 65,English,fairspeech,,
cv_common_voice_en_156058,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_156058.mp3,A young woman wearing a yellow sweater and black pants is ice skating outdoors.,,male_masculine,fourties,,commonvoice,us,73a931d5f7bb11eb8d69ab9b02d0c02c71018a5357e4a85d51a36449c0265bbceae2e053716d392f05471d14c2da17fdcccca6dce34d46a67271fc4a4b5551b5
cv_common_voice_en_18534160,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18534160.mp3,The large rooms are too cramped and close.,,,,,commonvoice,,f4cd081950e44c8aec30731ad6d1f398f194bf01e003ada5064d357bf631d6d2e6a1a78cb144737b227b339b2b6e1750f70b6eaf05451145a4c0b6872c0683b5
fs_f6a8da11899c9d8f5eddbe3d0461a514,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/f6a8da11899c9d8f5eddbe3d0461a514.wav,hey facebook read that current incoming text from whatsapp,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18651932,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18651932.mp3,But I never own to it before her.,,female_feminine,thirties,,commonvoice,african,2260012da3141f7794e6d0c1bb750d1b9cf0b861e1e69a858f8e7da7e617c49f8333d56ceba58fe645e0cfacfe5c296712c399faecd319d4bdedc7c1134f2014
cv_common_voice_en_18646813,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18646813.mp3,The girl's face flushed rosily.,,male_masculine,twenties,,commonvoice,,731c316439a07e93416478e155a49766bd1dd12ebbf91b64d39dadbe67b60befe035d527c7325cdaba014233e632eb71868f56684f4098a6649dd9f5f06fa47f
fs_70ba33a061fa04a3b4d527689220ca6a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/70ba33a061fa04a3b4d527689220ca6a.wav,hey facebook resume the current playing music,Black/AA,male,31 - 45,English,fairspeech,,
fs_7b0e4b2b72f5dd3927a302db23c54b9a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/7b0e4b2b72f5dd3927a302db23c54b9a.wav,search for my personal playlist on spotify,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18570188,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18570188.mp3,Most people generally have a positive outlook on life.,,,,,commonvoice,,3d18c09d2e785f3211d3e91b4d95a72936216257d783288076572f0058730489579d4c493d4cda396a87d84b88b9746361a7293738ae477f53c11cb9255e4408
fs_0ea1357d60b54c19c0cbc206f2050e21,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/0ea1357d60b54c19c0cbc206f2050e21.wav,i'll be right back i'll talk to you later,Asian,male,18 - 22,English,fairspeech,,
fs_1112506b064edb5c7924fe96e9d4f8e6,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/1112506b064edb5c7924fe96e9d4f8e6.wav,hey facebook can you make my online status available,White,male,18 - 22,English,fairspeech,,
